cliente_id,idade,cidade,renda_mensal,plano,valor_mensalidade,tempo_de_casa_meses,qtd_acessos_mes,qtd_chamados_suporte,atraso_pagamento,churn
224,25,Rio de Janeiro,5219.04,Básico,29.9,7,4.0,2,0,0
225,39,Belo Horizonte,1200.0,Básico,29.9,53,2.0,1,0,0
226,41,Curitiba,3934.01,Padrão,59.9,3,3.0,0,1,0
227,68,Recife,1475.62,Premium,119.9,2,4.0,1,0,0
228,61,São Paulo,5254.91,Básico,29.9,20,7.0,0,0,0
229,28,Rio de Janeiro,4191.66,Padrão,59.9,12,7.0,0,0,0
230,35,Curitiba,6291.96,Básico,29.9,30,11.0,0,0,0
231,20,São Paulo,6097.74,Padrão,59.9,18,13.0,2,0,0
232,31,Rio de Janeiro,,Básico,29.9,22,10.0,1,0,0
233,42,Recife,3719.35,Básico,29.9,34,11.0,1,0,0
234,52,Recife,5793.29,Básico,29.9,34,6.0,1,1,1
235,29,Recife,3279.75,Padrão,59.9,56,6.0,1,0,0
236,30,Curitiba,4257.49,Padrão,59.9,29,6.0,1,0,0
237,18,São Paulo,5675.05,Básico,29.9,34,5.0,1,1,0
238,36,São Paulo,3436.01,Padrão,59.9,40,7.0,2,0,0
239,25,Rio de Janeiro,5560.22,Padrão,59.9,11,8.0,0,0,0
240,32,Rio de Janeiro,5539.32,Básico,29.9,40,14.0,1,0,0
241,27,Rio de Janeiro,2451.37,Padrão,59.9,51,4.0,1,0,0
242,37,Belo Horizonte,6223.01,Premium,119.9,19,10.0,1,0,0
243,18,Rio de Janeiro,5157.42,Básico,29.9,11,10.0,0,0,0
244,20,Belo Horizonte,4143.47,Padrão,59.9,21,6.0,1,0,0
245,64,São Paulo,3907.82,Básico,29.9,17,8.0,0,0,0
246,23,São Paulo,2503.43,Padrão,59.9,35,4.0,3,0,0
247,25,São Paulo,3142.21,Básico,29.9,51,5.0,2,0,0
248,60,São Paulo,6136.67,Padrão,59.9,36,8.0,0,0,0
249,73,Curitiba,3829.87,Básico,29.9,8,3.0,3,0,0
250,24,Rio de Janeiro,4867.52,Padrão,59.9,19,13.0,3,0,0
251,34,São Paulo,2144.84,Premium,119.9,41,6.0,0,0,0
252,42,Curitiba,4252.68,Básico,29.9,20,5.0,2,0,0
253,59,Rio de Janeiro,5327.37,Premium,119.9,35,8.0,3,0,0
254,26,São Paulo,8541.23,Premium,119.9,41,15.0,1,0,0
255,35,São Paulo,1930.83,Premium,119.9,20,2.0,2,1,0
256,47,São Paulo,7419.63,Básico,29.9,39,7.0,1,0,0
257,43,Belo Horizonte,4919.72,Padrão,59.9,24,6.0,1,1,0
258,33,São Paulo,5090.11,Básico,29.9,8,5.0,0,0,0
259,36,São Paulo,4653.03,Básico,29.9,22,10.0,1,0,0
260,22,São Paulo,4820.51,Premium,119.9,27,6.0,2,1,1
261,35,Rio de Janeiro,4133.37,Padrão,59.9,1,6.0,0,0,0
262,35,São Paulo,7027.29,Padrão,59.9,53,10.0,2,0,0
263,41,Curitiba,3768.35,Básico,29.9,32,,2,0,0
264,31,São Paulo,6328.02,Padrão,59.9,3,9.0,2,0,0
265,44,Belo Horizonte,3520.14,Padrão,59.9,52,10.0,1,0,0
266,50,Rio de Janeiro,4751.55,Básico,29.9,51,3.0,0,0,0
267,40,Rio de Janeiro,2630.47,Premium,119.9,1,10.0,0,0,0
268,42,São Paulo,5439.04,Básico,29.9,10,8.0,3,0,0
269,39,Curitiba,7131.23,Básico,29.9,22,17.0,2,0,0
270,38,Curitiba,4360.76,Padrão,59.9,30,5.0,0,0,0
271,29,São Paulo,3875.61,Premium,119.9,43,3.0,1,0,0
272,42,São Paulo,2613.69,Básico,29.9,26,9.0,2,0,0
273,37,Recife,4057.27,Básico,29.9,37,11.0,3,0,0
274,63,Rio de Janeiro,2382.97,Básico,29.9,1,7.0,2,0,0
275,57,São Paulo,3426.82,Premium,119.9,39,8.0,1,1,0
276,43,São Paulo,5058.21,Básico,29.9,55,9.0,1,0,0
277,29,Belo Horizonte,6604.22,Padrão,59.9,32,8.0,0,0,1
278,25,Belo Horizonte,9166.58,Premium,119.9,27,15.0,1,0,0
279,52,Rio de Janeiro,3864.15,Básico,29.9,18,6.0,0,0,0
280,41,Recife,7173.54,Padrão,59.9,57,10.0,1,1,1
281,44,Rio de Janeiro,5118.75,Padrão,59.9,2,6.0,0,0,1
282,18,São Paulo,3627.75,Padrão,59.9,17,7.0,2,0,0
283,49,Rio de Janeiro,5608.67,Básico,29.9,9,9.0,2,0,0
284,43,Rio de Janeiro,4761.45,Básico,29.9,52,4.0,0,0,0
285,25,São Paulo,4308.71,Básico,29.9,29,12.0,2,0,0
286,32,São Paulo,3585.0,Padrão,59.9,55,8.0,0,0,0
287,41,Rio de Janeiro,2073.4,Padrão,59.9,40,3.0,0,1,0
288,39,Belo Horizonte,1751.47,Básico,29.9,33,5.0,0,0,0
289,34,São Paulo,5555.84,Básico,29.9,31,6.0,4,0,1
290,37,Rio de Janeiro,3971.94,Premium,119.9,12,11.0,1,1,0
291,35,Belo Horizonte,3337.04,Básico,29.9,34,,1,0,0
292,40,Belo Horizonte,4575.31,Básico,29.9,41,7.0,1,0,0
293,56,Curitiba,6470.88,Padrão,59.9,57,15.0,0,0,0
294,18,Curitiba,4224.66,Básico,29.9,33,15.0,1,1,0
295,35,Belo Horizonte,3229.1,Básico,29.9,56,5.0,1,0,0
296,40,São Paulo,6767.33,Básico,29.9,56,5.0,1,0,0
297,42,Rio de Janeiro,7462.53,Básico,29.9,31,7.0,2,0,1
298,34,Belo Horizonte,5270.2,Padrão,59.9,26,7.0,0,0,0
299,18,São Paulo,5652.59,Padrão,59.9,9,9.0,1,0,1
300,42,São Paulo,,Padrão,59.9,16,13.0,2,1,1
301,59,São Paulo,7164.18,Básico,29.9,52,13.0,1,0,0
302,20,Rio de Janeiro,5065.38,Padrão,59.9,9,13.0,1,0,0
303,48,Rio de Janeiro,5877.02,Básico,29.9,24,14.0,0,0,1
304,34,São Paulo,5315.39,Padrão,59.9,42,9.0,1,0,0
305,37,Curitiba,2494.79,Básico,29.9,15,6.0,2,0,0
306,25,Recife,5371.3,Padrão,59.9,58,9.0,1,0,0
307,34,São Paulo,1939.53,Básico,29.9,39,5.0,0,0,0
308,54,Recife,3549.72,Básico,29.9,2,6.0,2,0,0
309,45,São Paulo,7056.42,Básico,29.9,15,15.0,0,0,0
310,59,Recife,6642.4,Básico,29.9,44,8.0,1,0,0
311,52,Recife,7597.32,Básico,29.9,51,15.0,3,1,1
312,43,São Paulo,4160.99,Padrão,59.9,55,6.0,1,1,1
313,59,Curitiba,3055.95,Padrão,59.9,51,6.0,4,0,0
314,43,Recife,,Básico,29.9,5,4.0,1,0,0
315,48,Recife,4983.66,Premium,119.9,44,9.0,2,0,0
316,34,Recife,4522.18,Padrão,59.9,7,8.0,1,0,0
317,39,Rio de Janeiro,6570.62,Premium,119.9,5,13.0,1,0,0
318,30,São Paulo,3609.71,Padrão,59.9,41,4.0,2,0,0
319,50,Curitiba,5493.66,Padrão,59.9,29,9.0,0,1,0
320,24,Belo Horizonte,2300.47,Padrão,59.9,39,7.0,1,0,0
321,47,Belo Horizonte,5580.57,Padrão,59.9,51,5.0,1,0,1
322,36,Rio de Janeiro,4445.6,Premium,119.9,5,7.0,0,0,0
323,52,Rio de Janeiro,3570.34,Básico,29.9,32,8.0,1,0,0
324,47,São Paulo,4345.51,Básico,29.9,50,3.0,4,0,0
325,60,Belo Horizonte,4828.48,Básico,29.9,26,7.0,2,1,0
326,47,São Paulo,4283.72,Premium,119.9,31,5.0,1,0,0
327,19,Belo Horizonte,7118.41,Básico,29.9,30,7.0,0,0,0
328,37,Curitiba,4292.8,Padrão,59.9,54,8.0,2,0,0
329,24,Rio de Janeiro,3640.99,Padrão,59.9,3,9.0,1,0,0
330,32,Rio de Janeiro,1200.0,Premium,119.9,52,4.0,2,0,0
331,56,São Paulo,3430.43,Básico,29.9,49,9.0,2,0,0
332,46,Recife,4266.47,Padrão,59.9,48,7.0,0,0,0
333,30,Belo Horizonte,3025.47,Premium,119.9,25,7.0,0,0,0
334,26,Rio de Janeiro,6627.07,Básico,29.9,31,11.0,4,0,1
335,38,São Paulo,4203.11,Padrão,59.9,22,7.0,0,0,0
336,23,São Paulo,6369.2,Básico,29.9,15,9.0,2,0,0
337,30,Rio de Janeiro,4371.07,Padrão,59.9,52,6.0,0,0,0
338,42,Recife,4687.01,Padrão,59.9,30,6.0,3,1,0
339,52,Belo Horizonte,4760.17,Básico,29.9,43,7.0,1,0,0
340,45,São Paulo,4716.83,Básico,29.9,6,7.0,0,1,0
341,18,Curitiba,6993.83,Básico,29.9,47,10.0,5,0,0
342,42,Rio de Janeiro,1200.0,Básico,29.9,39,3.0,2,0,0
343,39,Curitiba,1200.0,Padrão,59.9,59,2.0,1,0,0
344,43,São Paulo,3672.29,Básico,29.9,8,,0,0,0
345,57,Belo Horizonte,5096.15,Básico,29.9,32,5.0,1,0,0
346,18,Recife,5142.19,Padrão,59.9,31,6.0,0,0,0
347,31,São Paulo,5141.56,Padrão,59.9,32,7.0,2,1,1
348,45,Belo Horizonte,4018.36,Padrão,59.9,4,10.0,1,1,1
349,19,Recife,5764.28,Premium,119.9,28,9.0,0,0,0
350,56,São Paulo,6894.35,Básico,29.9,18,15.0,0,0,0
351,42,São Paulo,4951.3,Padrão,59.9,37,5.0,0,0,0
352,48,Belo Horizonte,6532.78,Básico,29.9,14,7.0,0,0,0
353,31,São Paulo,4780.76,Padrão,59.9,26,7.0,0,0,0
354,48,São Paulo,3789.33,Premium,119.9,37,5.0,1,0,0
355,51,Rio de Janeiro,6146.07,Padrão,59.9,4,13.0,1,0,0
356,41,Curitiba,4789.1,Padrão,59.9,47,2.0,2,0,0
357,41,São Paulo,4592.41,Padrão,59.9,43,14.0,2,0,0
358,41,São Paulo,7241.32,Básico,29.9,4,13.0,0,1,1
359,28,Curitiba,1200.0,Padrão,59.9,4,2.0,2,0,1
360,36,Rio de Janeiro,1888.17,Padrão,59.9,51,6.0,0,0,0
361,36,Curitiba,2303.27,Premium,119.9,17,5.0,0,0,0
362,43,Rio de Janeiro,3996.13,Básico,29.9,51,6.0,1,0,0
363,50,Recife,4401.71,Básico,29.9,30,7.0,0,0,0
364,25,Belo Horizonte,1396.81,Padrão,59.9,21,2.0,2,0,0
365,36,São Paulo,2666.72,Básico,29.9,17,4.0,0,1,0
366,56,Curitiba,3490.48,Básico,29.9,39,6.0,1,0,0
367,29,Rio de Janeiro,8653.36,Básico,29.9,7,13.0,2,0,1
368,28,São Paulo,7443.14,Padrão,59.9,24,11.0,1,0,0
369,40,São Paulo,3818.85,Básico,29.9,21,7.0,1,1,0
370,48,Belo Horizonte,4145.55,Básico,29.9,10,6.0,1,0,0
371,38,São Paulo,2431.43,Básico,29.9,21,6.0,1,0,0
372,54,São Paulo,1545.37,Premium,119.9,32,6.0,1,1,0
373,48,São Paulo,4589.62,Padrão,59.9,40,,1,0,0
374,48,Rio de Janeiro,3003.87,Básico,29.9,6,5.0,4,0,0
375,45,Rio de Janeiro,4557.27,Básico,29.9,52,4.0,1,0,0
376,66,Rio de Janeiro,2459.63,Padrão,59.9,52,,1,0,0
377,36,São Paulo,3068.45,Básico,29.9,41,5.0,0,1,0
378,18,São Paulo,4167.53,Padrão,59.9,55,11.0,1,0,0
379,57,Belo Horizonte,5729.18,Básico,29.9,26,10.0,1,0,0
380,33,Rio de Janeiro,5101.45,Premium,119.9,49,12.0,3,0,0
